fund_symbol,price_date,open,high,low,close,adj_close,volume
AADR,2/18/16,37.56,37.56,37.56,37.56,36.35,100
AADR,2/19/16,37.56,37.56,37.56,37.56,36.35,0
AADR,2/22/16,36.32,36.32,36.32,36.32,35.15,200
AADR,2/23/16,35.97,35.97,35.9,35.9,34.74,400
AADR,2/24/16,35.55,35.55,35.55,35.55,34.4,800
AADR,2/25/16,37,37,35.78,35.78,34.62,700
AADR,2/26/16,36.09,36.26,36.02,36.13,34.96,45600
AADR,2/29/16,36,36,36,36,34.84,100
AADR,3/1/16,36.84,36.98,36.84,36.88,35.69,12000
AADR,3/2/16,37.15,37.15,36.85,36.92,35.73,11200
AADR,3/3/16,36.85,36.85,36.85,36.85,35.66,300
AADR,3/4/16,37.39,37.43,37.39,37.43,36.22,500
AADR,3/7/16,37.28,37.28,37.25,37.25,36.05,500
AADR,3/8/16,37.25,37.25,37.25,37.25,36.05,0
AADR,3/9/16,37.57,37.57,37.57,37.57,36.36,100
AADR,3/10/16,37.23,37.23,37.1,37.1,35.9,700
AADR,3/11/16,37.6,37.69,37.58,37.69,36.47,1400
AADR,3/14/16,37.75,37.75,37.6,37.61,36.39,8000
AADR,3/15/16,37.27,37.27,37.15,37.16,35.96,5400
AADR,3/16/16,36.85,37.5,36.85,37.49,36.28,7400
AADR,3/17/16,37.6,37.6,37.6,37.6,36.38,500
AADR,3/18/16,38.42,38.5,38.2,38.42,37.18,800
AADR,3/21/16,38.38,38.4,38.18,38.23,36.99,1600
AADR,3/22/16,37.89,37.89,37.84,37.85,36.63,2100
AADR,3/23/16,37.85,38.09,37.42,37.42,36.21,26100
AADR,3/24/16,37.42,37.68,37.22,37.23,36.05,24600
AADR,3/28/16,37.47,37.77,37.47,37.77,36.57,600
AADR,3/29/16,37.61,38.22,37.61,37.94,36.74,6700
AADR,3/30/16,37.94,37.94,37.94,37.94,36.74,0
AADR,3/31/16,38.4,38.41,38.31,38.41,37.19,700
AADR,4/1/16,38.41,38.41,38.41,38.41,37.19,0
AADR,4/4/16,38.4,38.4,38.28,38.29,37.08,2200
AADR,4/5/16,38.29,38.29,38.29,38.29,37.08,0
AADR,4/6/16,38.95,38.95,38.01,38.55,37.33,1600
AADR,4/7/16,38.55,38.55,38.28,38.29,37.08,1900
AADR,4/8/16,38.15,38.15,38.09,38.14,36.93,3100
AADR,4/11/16,38.31,38.31,38.1,38.12,36.91,900
AADR,4/12/16,38.03,38.3,38,38.28,37.07,1700
AADR,4/13/16,39.12,39.12,38.89,38.98,37.74,5500
AADR,4/14/16,38.98,38.98,38.98,38.98,37.74,1000
AADR,4/15/16,39.1,39.1,38.45,38.45,37.23,3300
AADR,4/18/16,38.52,39.05,38.37,39.05,37.81,5200
AADR,4/19/16,39.59,39.59,39.4,39.4,38.15,1000
AADR,4/20/16,39.3,39.53,39.3,39.53,38.28,300
AADR,4/21/16,39.8,39.8,39.01,39.01,37.77,800
AADR,4/22/16,39.05,39.05,38.89,39,37.76,1700
AADR,4/25/16,39.19,39.19,38.47,38.52,37.3,3600
AADR,4/26/16,38.53,38.62,38.47,38.57,37.35,1100
AADR,4/27/16,38.96,38.96,38.96,38.96,37.73,200
AADR,4/28/16,38.9,39.06,38.51,38.51,37.29,3900
AADR,4/29/16,38.51,38.51,38.28,38.28,37.07,1300
AADR,5/2/16,38.67,38.87,38.67,38.82,37.59,1500
AADR,5/3/16,38.33,38.33,38.21,38.21,37,1000
AADR,5/4/16,37.77,37.82,37.72,37.82,36.62,10500
AADR,5/5/16,38.1,38.1,38.1,38.1,36.89,600
AADR,5/6/16,38.1,38.1,38.1,38.1,36.89,0
AADR,5/9/16,37.72,37.97,37.72,37.97,36.77,700
AADR,5/10/16,38.21,38.21,38.07,38.21,37,900
AADR,5/11/16,38.19,38.21,38.09,38.21,37,2600
